id,Predict
1,33
2,19
3,22
4,21
5,52
6,21
7,13
8,27
9,43
10,38
11,13
12,19
13,19
14,46
15,19
16,16
17,31
18,22
19,46
20,12
21,26
22,19
23,27
24,20
25,19
26,45
27,12
28,14
29,50
30,19
31,21
32,48
33,22
34,14
35,27
36,23
37,40
38,20
39,108
40,29
41,31
42,12
43,21
44,12
45,10
46,29
47,27
48,51
49,13
50,32
51,36
52,20
53,41
54,26
55,26
56,42
57,12
58,28
59,12
60,15
61,27
62,20
63,21
64,37
65,27
66,39
67,35
68,14
69,13
70,34
71,20
72,23
73,25
74,18
75,12
76,31
77,19
78,49
79,19
80,27
81,12
82,21
83,12
84,14
85,23
86,12
87,20
88,32
89,38
90,30
91,12
92,47
93,41
94,21
95,21
96,36
97,33
98,33
99,67
100,40
101,21
102,20
103,21
104,47
105,21
106,12
107,27
108,11
109,46
110,12
111,22
112,14
113,27
114,43
115,31
116,32
117,26
118,28
119,21
120,44
121,22
122,26
123,13
124,13
125,27
126,19
127,27
128,26
129,33
130,27
131,38
132,30
133,13
134,25
135,21
136,32
137,27
138,13
139,21
140,21
141,37
142,43
143,20
144,12
145,38
146,12
147,47
148,21
149,12
150,21
151,13
152,20
153,14
154,22
155,14
156,13
157,21
158,21
159,10
160,35
161,20
162,13
163,50
164,11
165,19
166,43
167,32
168,27
169,21
170,36
171,30
172,11
173,19
174,40
175,50
176,42
177,39
178,31
179,25
180,20
181,12
182,31
183,26
184,27
185,49
186,27
187,12
188,47
189,21
190,19
191,20
192,33
193,26
194,49
195,13
196,13
197,22
198,31
199,13
200,30
201,39
202,34
203,21
204,12
205,27
206,13
207,28
208,19
209,35
210,15
211,27
212,48
213,49
214,35
215,32
216,12
217,19
218,20
219,21
220,54
221,36
222,21
223,13
224,13
225,35
226,32
227,20
228,20
229,19
230,28
231,26
232,31
233,11
234,40
235,35
236,35
237,26
238,19
239,10
240,44
241,18
242,28
243,22
244,31
245,13
246,31
247,21
248,48
249,14
250,31
251,34
252,13
253,27
254,14
255,22
256,30
257,20
258,11
259,18
260,12
261,21
262,19
263,22
264,46
265,11
266,22
267,11
268,27
269,18
270,43
271,32
272,22
273,20
274,20
275,50
276,49
277,41
278,25
279,47
280,25
281,44
282,27
283,27
284,31
285,64
286,15
287,20
288,37
289,14
290,11
291,39
292,12
293,8
294,29
295,20
296,20
297,26
298,26
299,37
300,33
301,22
302,11
303,20
304,37
305,33
306,18
307,28
308,31
309,48
310,28
311,27
312,20
313,21
314,20
315,27
316,28
317,38
318,35
319,26
320,31
321,44
322,20
323,20
324,12
325,18
326,37
327,11
328,34
329,27
330,24
331,14
332,23
333,15
334,30
335,15
336,17
337,25
338,28
339,28
340,20
341,42
342,19
343,64
344,12
345,38
346,21
347,20
348,32
349,13
350,14
351,21
352,27
353,12
354,27
355,32
356,25
357,21
358,13
359,25
360,13
361,13
362,28
363,21
364,12
365,21
366,12
367,3
368,26
369,13
370,21
371,19
372,21
373,31
374,45
375,35
376,13
377,67
378,12
379,13
380,22
381,28
382,57
383,22
384,30
385,19
386,25
387,39
388,31
389,20
390,43
391,22
392,10
393,19
394,21
395,27
396,13
397,34
398,35
399,21
400,13
401,19
402,23
403,32
404,33
405,12
406,13
407,68
408,34
409,27
410,21
411,23
412,32
413,21
414,11
415,52
416,27
417,17
418,25
419,19
420,20
421,22
422,34
423,23
424,35
425,32
426,20
427,26
428,41
429,12
430,12
431,33
432,28
433,21
434,20
435,18
436,27
437,32
438,27
439,39
440,13
441,49
442,38
443,27
444,21
445,19
446,19
447,12
448,30
449,21
450,37
451,41
452,11
453,37
454,13
455,14
456,31
457,21
458,54
459,26
460,19
461,35
462,34
463,26
464,13
465,12
466,26
467,26
468,40
469,36
470,31
471,31
472,58
473,27
474,41
475,31
476,21
477,25
478,20
479,25
480,54
481,29
482,20
483,19
484,42
485,27
486,28
487,26
488,20
489,23
490,36
491,35
492,18
493,12
494,37
495,11
496,20
497,11
498,21
499,36
500,32
501,33
502,50
503,20
504,9
505,43
506,12
507,29
508,25
509,11
510,24
511,27
512,24
513,42
514,28
515,30
516,50
517,20
518,14
519,27
520,54
521,30
522,50
523,14
524,21
525,39
526,14
527,15
528,12
529,31
530,14
531,45
532,20
533,13
534,42
535,37
536,22
537,21
538,20
539,1
540,21
541,35
542,21
543,48
544,19
545,19
546,20
547,27
548,10
549,32
550,21
551,42
552,11
553,44
554,27
555,17
556,20
557,17
558,44
559,25
560,32
561,12
562,28
563,34
564,41
565,11
566,21
567,43
568,13
569,19
570,20
571,27
572,48
573,29
574,37
575,20
576,22
577,11
578,25
579,12
580,27
581,27
582,59
583,28
584,28
585,35
586,33
587,14
588,19
589,41
590,42
591,36
592,21
593,30
594,30
595,20
596,13
597,32
598,50
599,20
600,32
601,14
602,26
603,20
604,41
605,20
606,24
607,30
608,27
609,46
610,28
611,21
612,32
613,28
614,12
615,20
616,19
617,66
618,44
619,27
620,12
621,35
622,20
623,18
624,46
625,21
626,38
627,26
628,44
629,14
630,21
631,42
632,54
633,30
634,20
635,38
636,10
637,12
638,28
639,35
640,21
641,20
642,25
643,14
644,13
645,12
646,22
647,29
648,10
649,19
650,32
651,11
652,20
653,22
654,34
655,12
656,67
657,38
658,35
659,21
660,10
661,25
662,21
663,32
664,21
665,13
666,20
667,38
668,13
669,36
670,26
671,29
672,12
673,20
674,13
675,20
676,22
677,25
678,14
679,9
680,12
681,20
682,26
683,22
684,21
685,27
686,27
687,29
688,17
689,26
690,27
691,11
692,45
693,47
694,20
695,12
696,11
697,12
698,11
699,39
700,22
701,25
702,20
703,13
704,30
705,10
706,12
707,25
708,31
709,27
710,28
711,26
712,31
713,34
714,33
715,21
716,15
717,12
718,26
719,26
720,41
721,35
722,20
723,11
724,13
725,11
726,34
727,30
728,26
729,30
730,12
731,13
732,19
733,14
734,21
735,26
736,13
737,20
738,12
739,36
740,10
741,20
742,28
743,38
744,24
745,34
746,13
747,30
748,30
749,26
750,19
751,31
752,45
753,11
754,42
755,32
756,20
757,30
758,23
759,21
760,12
761,12
762,13
763,21
764,44
765,37
766,13
767,21
768,41
769,27
770,21
771,41
772,36
773,46
774,26
775,13
776,13
777,9
778,14
779,31
780,36
781,20
782,33
783,26
784,26
785,20
786,22
787,36
788,15
789,34
790,22
791,13
792,20
793,32
794,39
795,19
796,11
797,59
798,23
799,12
800,12
801,22
802,34
803,23
804,30
805,26
806,50
807,31
808,13
809,14
810,21
811,32
812,20
813,14
814,12
815,12
816,31
817,19
818,19
819,12
820,32
821,53
822,13
823,30
824,23
825,27
826,20
827,31
828,22
829,13
830,32
831,21
832,31
833,21
834,12
835,21
836,38
837,20
838,12
839,20
840,28
841,12
842,37
843,45
844,39
845,25
846,20
847,27
848,31
849,14
850,26
851,45
852,22
853,45
854,20
855,30
856,21
857,31
858,19
859,43
860,20
861,37
862,12
863,26
864,52
865,13
866,21
867,15
868,34
869,28
870,33
871,26
872,14
873,38
874,13
875,13
876,32
877,28
878,13
879,27
880,13
881,21
882,13
883,12
884,41
885,26
886,46
887,22
888,39
889,21
890,20
891,35
892,63
893,12
894,52
895,44
896,19
897,22
898,21
899,20
900,26
901,12
902,35
903,13
904,21
905,37
906,37
907,27
908,27
909,32
910,21
911,22
912,27
913,28
914,61
915,28
916,13
917,32
918,21
919,19
920,20
921,45
922,30
923,28
924,36
925,43
926,21
927,35
928,21
929,21
930,42
931,13
932,37
933,21
934,37
935,5
936,13
937,28
938,27
939,22
940,27
941,45
942,20
943,31
944,21
945,20
946,35
947,14
948,26
949,18
950,57
951,12
952,26
953,70
954,20
955,33
956,16
957,20
958,12
959,48
960,52
961,20
962,22
963,21
964,23
965,18
966,34
967,13
968,21
969,39
970,32
971,26
972,12
973,22
974,13
975,14
976,19
977,27
978,12
979,27
980,14
981,13
982,21
983,34
984,27
985,21
986,26
987,12
988,12
989,21
990,35
991,31
992,19
993,19
994,34
995,41
996,13
997,41
998,45
999,51
1000,49
1001,21
1002,46
1003,28
1004,20
1005,15
1006,7
1007,44
1008,30
1009,46
1010,28
1011,12
1012,31
1013,31
1014,21
1015,17
1016,49
1017,13
1018,37
1019,13
1020,26
1021,44
1022,24
1023,12
1024,12
1025,35
1026,13
1027,12
1028,26
1029,19
1030,30
1031,20
1032,32
1033,20
1034,29
1035,32
1036,26
1037,12
1038,51
1039,14
1040,35
1041,27
1042,20
1043,11
1044,20
1045,39
1046,25
1047,12
1048,20
1049,19
1050,40
1051,41
1052,44
1053,26
1054,22
1055,64
1056,25
1057,38
1058,12
1059,46
1060,12
1061,11
1062,21
1063,28
1064,22
1065,12
1066,51
1067,48
1068,20
1069,21
1070,32
1071,34
1072,36
1073,28
1074,31
1075,12
1076,12
1077,35
1078,27
1079,26
1080,34
1081,12
1082,25
1083,34
1084,34
1085,29
1086,25
1087,35
1088,23
1089,12
1090,36
1091,32
1092,44
1093,35
1094,26
1095,22
1096,13
1097,26
1098,46
1099,11
1100,13
1101,16
1102,12
1103,13
1104,20
1105,12
1106,12
1107,20
1108,11
1109,26
1110,20
1111,11
1112,22
1113,21
1114,43
1115,12
1116,35
1117,10
1118,14
1119,21
1120,12
1121,13
1122,22
1123,11
1124,0
1125,26
1126,20
1127,27
1128,28
1129,20
1130,44
1131,11
1132,20
1133,32
1134,20
1135,25
1136,12
1137,20
1138,13
1139,11
1140,55
1141,27
1142,25
1143,21
1144,27
1145,31
1146,43
1147,21
1148,12
1149,50
1150,34
1151,33
1152,20
1153,20
1154,31
1155,59
1156,10
1157,36
1158,31
1159,47
1160,24
1161,37
1162,10
1163,14
1164,21
1165,30
1166,12
1167,27
1168,11
1169,11
1170,19
1171,37
1172,34
1173,22
1174,22
1175,13
1176,13
1177,38
1178,40
1179,28
1180,20
1181,12
1182,12
1183,27
1184,26
1185,45
1186,27
1187,13
1188,11
1189,19
1190,12
1191,28
1192,21
1193,31
1194,14
1195,13
1196,12
1197,14
1198,21
1199,25
1200,12
1201,13
1202,34
1203,39
1204,28
1205,38
1206,44
1207,14
1208,51
1209,35
1210,13
1211,20
1212,20
1213,34
1214,10
1215,13
1216,25
1217,19
1218,45
1219,32
1220,36
1221,42
1222,40
1223,13
1224,27
1225,20
1226,12
1227,14
1228,34
1229,21
1230,26
1231,15
1232,12
1233,42
1234,22
1235,20
1236,12
1237,10
1238,14
1239,24
1240,19
1241,12
1242,22
1243,51
1244,21
1245,20
1246,49
1247,22
1248,10
1249,31
1250,37
1251,44
1252,21
1253,52
1254,20
1255,42
1256,40
1257,28
1258,26
1259,32
1260,14
1261,30
1262,21
1263,41
1264,21
1265,21
1266,22
1267,44
1268,20
1269,20
1270,70
1271,15
1272,27
1273,26
1274,38
1275,33
1276,26
1277,19
1278,12
1279,27
1280,36
1281,33
1282,13
1283,13
1284,26
1285,37
1286,35
1287,33
1288,20
1289,13
1290,43
1291,12
1292,38
1293,12
1294,36
1295,11
1296,22
1297,26
1298,20
1299,27
1300,20
1301,13
1302,31
1303,50
1304,19
1305,49
1306,26
1307,19
1308,67
1309,11
1310,20
1311,31
1312,14
1313,19
1314,21
1315,43
1316,20
1317,21
1318,20
1319,34
1320,40
1321,40
1322,35
1323,19
1324,26
1325,52
1326,33
1327,38
1328,14
1329,18
1330,20
1331,26
1332,19
1333,47
1334,39
1335,13
1336,13
1337,13
1338,26
1339,44
1340,19
1341,39
1342,37
1343,18
1344,26
1345,14
1346,12
1347,19
1348,11
1349,10
1350,39
1351,32
1352,10
1353,41
1354,13
1355,12
1356,11
1357,38
1358,34
1359,20
1360,22
1361,13
1362,25
1363,28
1364,24
1365,39
1366,46
1367,19
1368,31
1369,12
1370,46
1371,19
1372,11
1373,30
1374,33
1375,16
1376,33
1377,36
1378,28
1379,13
1380,19
1381,21
1382,13
1383,31
1384,32
1385,31
1386,53
1387,12
1388,22
1389,20
1390,51
1391,28
1392,50
1393,18
1394,28
1395,29
1396,20
1397,52
1398,47
1399,13
1400,27
1401,13
1402,28
1403,29
1404,13
1405,12
1406,53
1407,30
1408,26
1409,21
1410,25
1411,48
1412,39
1413,11
1414,21
1415,12
1416,31
1417,36
1418,20
1419,21
1420,14
1421,41
1422,26
1423,26
1424,20
1425,36
1426,31
1427,46
1428,40
1429,47
1430,20
1431,25
1432,13
1433,18
1434,30
1435,42
1436,34
1437,31
1438,20
1439,11
1440,27
1441,33
1442,30
1443,39
1444,36
1445,21
1446,30
1447,11
1448,20
1449,12
1450,33
1451,35
1452,36
1453,21
1454,20
1455,22
1456,48
1457,28
1458,34
1459,38
1460,19
1461,26
1462,33
1463,21
1464,21
1465,47
1466,30
1467,12
1468,31
1469,12
1470,13
1471,21
1472,35
1473,37
1474,12
1475,53
1476,10
1477,43
1478,21
1479,45
1480,27
1481,37
1482,12
1483,6
1484,12
1485,20
1486,13
1487,14
1488,20
1489,35
1490,12
1491,19
1492,43
1493,13
1494,9
1495,36
1496,43
1497,35
1498,20
1499,20
1500,12
1501,12
1502,24
1503,20
1504,13
1505,20
1506,20
1507,21
1508,50
1509,29
1510,11
1511,34
1512,26
1513,11
1514,20
1515,11
1516,14
1517,12
1518,32
1519,20
1520,12
1521,34
1522,31
